TIME,30.2419,30.5707,30.9066,31.25,31.6011,31.9602,32.3276,32.7035,33.0882,33.4821,33.8855,34.2988,34.7222,35.1562,35.6013,36.0577,36.526,37.0066,37.5,38.0068,38.5274,39.0625,39.6127,40.1786,40.7609,41.3603,41.9776,42.6136,43.2692,43.9453,44.6429,45.3629,46.1066,46.875,47.6695,48.4914,49.3421,50.2232,51.1364,52.0833,53.066,54.0865,55.1471,56.25,57.398,58.5937,59.8404,61.1413,62.5,63.9205,65.407,66.9643,68.5976,70.3125,72.1154,74.0132,76.0135,78.125,80.3571,82.7206,85.2273,87.8906,90.7258,93.75,96.9828,100.446,104.167,108.173,112.5,117.187,122.283,127.841,133.929,140.625,148.026,156.25,165.441,175.781,187.5,200.893,216.346,234.375,255.682,281.25,312.5,351.562,401.786,468.75
0.000000000,0.203976,0.132146,0.26465,0.304899,0.383337,0.402299,0.169815,0.047286,0.087422,0.0720263,0.0562779,0.0771706,0.222023,0.255108,0.133008,0.0772119,0.0730832,0.101524,0.196263,0.445287,0.68568,0.626409,0.394072,0.219607,0.127172,0.115725,0.08497,0.156557,0.287237,0.325723,0.269992,0.245825,0.0932673,0.0140073,0.0301104,0.147292,0.272984,0.370715,0.247956,0.225729,0.138587,0.119315,0.206886,0.279099,0.223835,0.240569,0.310337,0.284932,0.220018,0.402751,0.437036,0.22353,0.0949427,0.16844,0.402732,0.357696,0.119524,0.0700332,0.177948,0.225546,0.12769,0.061976,0.215189,0.315644,0.402608,0.433274,0.388344,0.241033,0.268678,0.328852,0.423355,0.213501,0.141858,0.0807558,0.129947,0.273988,0.300803,0.368692,0.245775,0.141237,0.0877316,0.0174098,0.0703631,0.207126,0.234136,0.215951,0.182232,0.157189
1.365333333,0.238912,0.137567,0.267997,0.304909,0.384541,0.404767,0.210735,0.153418,0.157058,0.08719,0.0616264,0.0772299,0.222348,0.258263,0.136308,0.079995,0.078481,0.108386,0.211336,0.495959,0.729542,0.636342,0.396769,0.221711,0.170097,0.139645,0.0851448,0.157767,0.29896,0.332376,0.275696,0.253356,0.100882,0.0141747,0.0319337,0.14972,0.300742,0.398002,0.261491,0.239636,0.157811,0.122415,0.206918,0.279119,0.224206,0.246908,0.314124,0.293655,0.242292,0.405269,0.439054,0.229113,0.101452,0.170874,0.403316,0.365073,0.148196,0.084058,0.183187,0.228058,0.131388,0.0632195,0.217938,0.322849,0.413024,0.439702,0.389391,0.24585,0.290813,0.337139,0.424432,0.213798,0.146529,0.100387,0.136707,0.284389,0.319164,0.376819,0.246647,0.141537,0.0934001,0.0342435,0.078035,0.213573,0.242467,0.239528,0.185971,0.159276
2.730666667,0.276907,0.152362,0.271857,0.325151,0.422508,0.440139,0.21765,0.1768,0.200612,0.11865,0.0627016,0.0836495,0.241629,0.280677,0.22142,0.131418,0.0954723,0.10963,0.213247,0.49638,0.729578,0.722073,0.5729,0.276558,0.18742,0.148185,0.096095,0.185114,0.342238,0.343668,0.312633,0.298574,0.118767,0.0261624,0.0562912,0.272909,0.538563,0.506918,0.27104,0.24309,0.158518,0.12601,0.244184,0.308552,0.377966,0.399562,0.322682,0.294279,0.242515,0.409368,0.445256,0.23233,0.132869,0.249208,0.484665,0.370053,0.148427,0.0840725,0.184365,0.232313,0.159859,0.115519,0.441181,0.710211,0.527404,0.454825,0.390332,0.245868,0.292426,0.357109,0.472043,0.239676,0.177954,0.121346,0.138927,0.28617,0.326121,0.390178,0.252514,0.147284,0.0936078,0.0380354,0.0918088,0.232324,0.25603,0.249403,0.187598,0.159277
4.096000000,0.50106,0.268591,0.280732,0.339544,0.423691,0.449802,0.282033,0.335996,0.284152,0.151561,0.0641298,0.0836495,0.244488,0.321505,0.458839,0.331996,0.109252,0.113543,0.213247,0.49638,0.734102,0.770056,0.685755,0.332224,0.230878,0.149426,0.096095,0.185114,0.348762,0.38341,0.369882,0.325627,0.148388,0.0751829,0.0669466,0.272909,0.539921,0.523806,0.324318,0.294449,0.207569,0.208303,0.318279,0.315214,0.392623,0.417091,0.325591,0.31161,0.2993,0.467509,0.468606,0.27936,0.28853,0.282929,0.490408,0.410631,0.233853,0.145569,0.253349,0.27121,0.172522,0.146186,0.458103,0.74045,0.544159,0.560754,0.657168,0.394186,0.312358,0.358654,0.531065,0.27606,0.180603,0.133883,0.214166,0.458333,0.375256,0.404522,0.298067,0.245137,0.127592,0.0392017,0.0918088,0.266357,0.445215,0.360858,0.253309,0.188719
5.461333333,0.505294,0.279345,0.310039,0.351999,0.427915,0.46177,0.319088,0.356596,0.28862,0.171024,0.112926,0.0931458,0.254454,0.345387,0.476007,0.337951,0.139906,0.201357,0.253964,0.503996,0.769951,0.792671,0.686648,0.333122,0.236968,0.1558,0.097749,0.223954,0.420557,0.464099,0.394343,0.325627,0.148447,0.0762383,0.0736318,0.29692,0.606219,0.625586,0.344604,0.30177,0.215516,0.208303,0.318481,0.344508,0.582197,0.512306,0.331844,0.31161,0.300094,0.475535,0.496791,0.402829,0.384278,0.309506,0.491817,0.413874,0.245413,0.146828,0.254932,0.287883,0.194271,0.158857,0.486043,0.76686,0.548,0.560758,0.659362,0.399391,0.324845,0.396785,0.562056,0.284303,0.181732,0.133967,0.223339,0.472992,0.394635,0.45469,0.354944,0.254554,0.127592,0.0437585,0.0942747,0.268457,0.476299,0.42536,0.29889,0.195142
6.826666667,0.505294,0.279345,0.310093,0.360703,0.443618,0.581384,0.606881,0.470851,0.29417,0.171073,0.114467,0.124032,0.332444,0.685402,0.648625,0.356274,0.153207,0.281131,0.367307,0.50507,0.812429,0.845633,0.729329,0.341659,0.237819,0.155846,0.097762,0.223954,0.420557,0.490825,0.405138,0.328464,0.16371,0.110739,0.0935259,0.337517,0.760588,0.788374,0.384471,0.322798,0.400084,0.329867,0.349871,0.458856,0.775617,0.597217,0.345119,0.367063,0.38994,0.48525,0.504936,0.467709,0.413218,0.311549,0.499314,0.480136,0.280665,0.184491,0.387868,0.454306,0.200131,0.220888,0.661875,0.815628,0.557016,0.633585,0.856444,0.453576,0.332302,0.42945,0.653907,0.419744,0.256355,0.150436,0.232298,0.474469,0.394637,0.458945,0.37068,0.254554,0.128458,0.0742484,0.178787,0.300081,0.502617,0.577207,0.538296,0.195142
8.192000000,0.505294,0.279345,0.310093,0.366098,0.4641,0.613217,0.621382,0.50191,0.323589,0.172539,0.128583,0.19701,0.430221,0.73961,0.663637,0.356274,0.153207,0.281131,0.402315,0.601133,0.876379,0.923471,0.743343,0.376459,0.288241,0.17443,0.134648,0.291734,0.428699,0.490825,0.405882,0.330282,0.171478,0.129521,0.113483,0.355109,0.761976,0.78999,0.384471,0.327752,0.426081,0.381484,0.384112,0.459389,0.775617,0.59733,0.345119,0.389228,0.526545,0.691062,0.53971,0.468527,0.413218,0.314239,0.501437,0.49076,0.297478,0.195576,0.394446,0.458775,0.200173,0.220888,0.674763,0.93854,0.644195,0.669382,0.859831,0.454213,0.332302,0.42945,0.670534,0.433343,0.256797,0.150492,0.233395,0.475993,0.407366,0.517762,0.408782,0.266836,0.128827,0.0742484,0.180587,0.306518,0.510881,0.616318,0.587152,0.206337
9.557333333,0.521782,0.283419,0.31013,0.37044,0.468213,0.614257,0.626355,0.512249,0.326033,0.177139,0.130584,0.19701,0.436607,0.791958,0.691095,0.36494,0.156437,0.28147,0.402315,0.601133,0.880164,0.949547,0.814486,0.519587,0.338567,0.175811,0.13503,0.29821,0.435314,0.497053,0.416995,0.340174,0.17314,0.129521,0.113483,0.357861,0.771749,0.807529,0.419436,0.508963,0.547588,0.402246,0.384112,0.459389,0.792203,0.64418,0.367048,0.39119,0.526545,0.691062,0.558256,0.521871,0.438343,0.32184,0.502856,0.52085,0.36583,0.24009,0.411492,0.498351,0.268622,0.310623,0.709279,0.943206,0.664815,0.727345,0.889883,0.525237,0.377961,0.437686,0.684433,0.482887,0.275824,0.150492,0.237071,0.530833,0.534829,0.587987,0.442021,0.283862,0.132224,0.0742484,0.180587,0.318218,0.537291,0.634468,0.597693,0.22572
10.922666667,0.522766,0.286163,0.311466,0.384193,0.47785,0.624188,0.638247,0.522282,0.327808,0.177525,0.132339,0.199356,0.457723,0.915321,0.939177,0.493387,0.171186,0.286145,0.402698,0.601133,0.881461,0.962064,0.820451,0.520181,0.339417,0.179377,0.138567,0.304478,0.438028,0.499865,0.518752,0.437796,0.197072,0.135697,0.116318,0.359549,0.782763,0.8287,0.446428,0.543458,0.551668,0.405282,0.392473,0.48268,0.808565,0.647497,0.369129,0.423618,0.53395,0.691575,0.565454,0.547501,0.460944,0.357989,0.548424,0.556373,0.37444,0.245383,0.412247,0.501553,0.29064,0.323811,0.711532,0.971377,0.676486,0.728233,0.889931,0.526284,0.398909,0.475538,0.704981,0.486268,0.275824,0.153972,0.238872,0.531999,0.597991,0.752516,0.465227,0.290902,0.133885,0.0742484,0.180633,0.319745,0.540523,0.639026,0.59986,0.228996
12.288000000,0.525213,0.285333,0.306341,0.379072,0.320266,0.469145,0.599401,0.521205,0.33148,0.191541,0.145818,0.197073,0.401206,0.878398,0.94319,0.572486,0.334535,0.333486,0.405146,0.546331,0.627826,0.708483,0.663932,0.470834,0.335999,0.183221,0.138966,0.295,0.418185,0.492006,0.517119,0.458776,0.27494,0.316222,0.19824,0.363491,0.738101,0.670768,0.329078,0.510153,0.523978,0.390208,0.39608,0.489995,0.778301,0.631611,0.369232,0.435186,0.554962,0.625059,0.445182,0.490126,0.453718,0.356542,0.519309,0.478389,0.364526,0.250899,0.395282,0.500092,0.27549,0.315945,0.710229,1.02043,0.676545,0.614907,0.800016,0.512413,0.310847,0.429719,0.671521,0.448421,0.271774,0.144184,0.229651,0.576554,0.688366,0.637899,0.366838,0.271978,0.131493,0.0734476,0.181652,0.300576,0.482317,0.622403,0.590026,0.220766
13.653333333,0.493059,0.255169,0.207198,0.198932,0.260952,0.473048,0.599515,0.521696,0.305893,0.150288,0.125415,0.183236,0.379463,0.834407,0.925139,0.572458,0.332725,0.304836,0.347783,0.409796,0.370486,0.617604,0.659464,0.472625,0.322937,0.131082,0.0954653,0.27337,0.35646,0.422153,0.514374,0.466975,0.279137,0.316222,0.194066,0.351305,0.694363,0.609264,0.314415,0.508436,0.519759,0.389583,0.34395,0.414849,0.746024,0.53619,0.207505,0.273326,0.44435,0.587782,0.433905,0.480503,0.461517,0.283422,0.396181,0.452239,0.368914,0.251174,0.358982,0.460552,0.252308,0.308381,0.652603,0.837126,0.474944,0.543138,0.759906,0.500454,0.298845,0.420524,0.62895,0.414042,0.276075,0.160586,0.239165,0.465478,0.509515,0.55431,0.398635,0.309689,0.139367,0.0740133,0.176263,0.287777,0.482093,0.610801,0.583174,0.204913
15.018666667,0.475677,0.247912,0.22107,0.197076,0.250062,0.475567,0.612963,0.522632,0.305893,0.144489,0.118326,0.188092,0.372313,0.830675,0.925662,0.557521,0.318917,0.30401,0.333798,0.392866,0.334425,0.49151,0.651456,0.477989,0.320457,0.133383,0.0862437,0.219006,0.322836,0.419595,0.492539,0.41039,0.268704,0.315058,0.193823,0.354508,0.689659,0.596796,0.341673,0.489594,0.496392,0.382119,0.310409,0.395725,0.736398,0.537376,0.218404,0.282958,0.427824,0.387617,0.236971,0.424901,0.464328,0.29451,0.403739,0.457985,0.37442,0.252494,0.330888,0.382349,0.23117,0.308381,0.662192,0.86328,0.46924,0.508678,0.755184,0.454739,0.235719,0.396118,0.587982,0.394976,0.267673,0.164879,0.208026,0.40709,0.486364,0.515212,0.365067,0.30228,0.138789,0.0654989,0.160068,0.213432,0.39749,0.551171,0.523648,0.168452
16.384000000,0.39813,0.180916,0.119078,0.145693,0.205587,0.397082,0.581203,0.519132,0.342555,0.159468,0.120342,0.19165,0.463374,0.941082,0.966191,0.564617,0.316374,0.298313,0.31878,0.370876,0.309023,0.480377,0.641436,0.49507,0.458311,0.141195,0.0802616,0.206695,0.235581,0.357509,0.574882,0.425146,0.288269,0.332964,0.205366,0.356525,0.684329,0.579231,0.288767,0.4421,0.504033,0.386243,0.311947,0.388824,0.723658,0.535972,0.214854,0.280811,0.450737,0.403204,0.239515,0.442742,0.500869,0.289438,0.377446,0.434748,0.365236,0.262533,0.333607,0.382574,0.227686,0.295651,0.656313,0.862649,0.453627,0.427207,0.709529,0.424676,0.25208,0.396787,0.549564,0.34421,0.2622,0.195485,0.207686,0.404466,0.494853,0.560512,0.384604,0.297128,0.131556,0.0651523,0.164905,0.221664,0.403273,0.552304,0.517825,0.135952
17.749333333,0.423141,0.214261,0.172614,0.149481,0.157049,0.323276,0.598785,0.554642,0.381885,0.165663,0.182559,0.23252,0.402261,0.86906,1.04944,0.665006,0.353804,0.293866,0.297783,0.369283,0.363873,0.468086,0.646347,0.49642,0.447633,0.14369,0.106961,0.214465,0.232665,0.349765,0.542831,0.340229,0.275719,0.357753,0.203435,0.357296,0.708815,0.616725,0.289715,0.383023,0.532998,0.466932,0.326767,0.313585,0.689726,0.528595,0.174512,0.272122,0.48764,0.539374,0.322944,0.427126,0.539453,0.369934,0.423457,0.588468,0.42682,0.262163,0.375918,0.438399,0.229731,0.294925,0.660537,0.884732,0.452294,0.418024,0.79852,0.526984,0.247368,0.269476,0.38812,0.323473,0.262817,0.192673,0.218352,0.492149,0.596721,0.563588,0.376405,0.293215,0.148599,0.180378,0.271303,0.182484,0.389098,0.554173,0.519009,0.252276
19.114666667,0.415748,0.226636,0.262174,0.39126,0.312474,0.308336,0.573986,0.554442,0.377107,0.163151,0.1823,0.241548,0.414429,0.842687,1.01411,0.643652,0.354829,0.297182,0.298256,0.345815,0.330334,0.434821,0.639033,0.524781,0.452192,0.144415,0.119205,0.238683,0.209777,0.266234,0.453513,0.342734,0.310515,0.382222,0.200095,0.298733,0.652186,0.65668,0.336882,0.417569,0.50432,0.417465,0.304733,0.306204,0.687144,0.549795,0.219025,0.285074,0.476523,0.515883,0.314199,0.417653,0.537994,0.33462,0.225654,0.435014,0.399269,0.27339,0.381843,0.408361,0.220518,0.291542,0.566627,0.855101,0.490069,0.434701,0.793126,0.513808,0.241622,0.212725,0.324839,0.306872,0.281158,0.200708,0.219757,0.489915,0.59315,0.532081,0.303576,0.208522,0.0904746,0.186837,0.276044,0.187953,0.377378,0.487477,0.484144,0.257724
20.480000000,0.413401,0.224883,0.373421,0.59111,0.399837,0.284078,0.548958,0.552862,0.371894,0.189633,0.215937,0.254916,0.404289,0.829171,1.00606,0.641699,0.34134,0.367558,0.547695,0.523369,0.359961,0.431492,0.611654,0.440535,0.395764,0.158651,0.138075,0.246329,0.242006,0.275277,0.437588,0.361353,0.333383,0.382395,0.199066,0.299043,0.658748,0.662074,0.349095,0.425762,0.505711,0.416813,0.303786,0.300905,0.703327,0.586974,0.22367,0.268529,0.44156,0.486558,0.300487,0.463005,0.591177,0.360116,0.231643,0.425835,0.388636,0.26731,0.387993,0.494824,0.300959,0.356303,0.677397,0.903124,0.473828,0.418372,0.792678,0.528408,0.292359,0.258304,0.344272,0.293094,0.269365,0.200827,0.224784,0.488039,0.584757,0.537675,0.322412,0.214614,0.0890138,0.18688,0.278236,0.19931,0.431499,0.522223,0.463085,0.237684
