"Track URI","Track Name","album_name","artist_name","release_date","Duration (ms)","pop","exp","Added By","Added At","genre","record_label","Danceability","Energy","key","Loudness","mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","time_sig","artist_group","mean_song_dur","mean_pop","mean_exp","mean_danceability","mean_energy","mean_loudness","mean_speechiness","mean_acousticness","mean_instrumentalness","mean_liveness","mean_valence","mean_tempo"
"spotify:track:1ID1QFSNNxi0hiZCNcwjUC","Legend","If You're Reading This It's Too Late","Drake",2015-02-12,241853,65,TRUE,"bobrossthelegend",2026-02-16 17:34:40,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.714,0.563,1,-7.574,1,0.0723,0.0266,0,0.0776,0.31,100.091,4,"Drake",242925.235294118,64.4705882352941,1,0.678588235294118,0.518,-7.786,0.208817647058824,0.261058823529412,3.68270588235294e-05,0.178329411764706,0.339352941176471,114.139764705882
"spotify:track:79XrkTOfV1AqySNjVlygpW","Energy","If You're Reading This It's Too Late","Drake",2015-02-12,181933,71,TRUE,"bobrossthelegend",2026-02-16 17:34:40,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.747,0.571,11,-7.916,1,0.478,0.38,0,0.534,0.553,172.104,4,"Drake",242925.235294118,64.4705882352941,1,0.678588235294118,0.518,-7.786,0.208817647058824,0.261058823529412,3.68270588235294e-05,0.178329411764706,0.339352941176471,114.139764705882
"spotify:track:12d5QFwzh60IIHlsSnAvps","10 Bands","If You're Reading This It's Too Late","Drake",2015-02-12,177733,63,TRUE,"bobrossthelegend",2026-02-16 17:34:40,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.825,0.756,11,-3.687,0,0.383,0.265,2.15e-06,0.0762,0.888,172.938,4,"Drake",242925.235294118,64.4705882352941,1,0.678588235294118,0.518,-7.786,0.208817647058824,0.261058823529412,3.68270588235294e-05,0.178329411764706,0.339352941176471,114.139764705882
"spotify:track:5InOp6q2vvx0fShv3bzFLZ","Know Yourself","If You're Reading This It's Too Late","Drake",2015-02-12,275840,67,TRUE,"bobrossthelegend",2026-02-16 17:34:40,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.72,0.412,11,-8.687,0,0.223,0.196,0,0.342,0.179,114.408,4,"Drake",242925.235294118,64.4705882352941,1,0.678588235294118,0.518,-7.786,0.208817647058824,0.261058823529412,3.68270588235294e-05,0.178329411764706,0.339352941176471,114.139764705882
"spotify:track:2durxb17bXcmQJHSt8JAdO","No Tellin'","If You're Reading This It's Too Late","Drake",2015-02-12,310933,59,TRUE,"bobrossthelegend",2026-02-16 17:34:40,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.823,0.467,0,-10.394,0,0.301,0.543,1.06e-06,0.135,0.618,95.026,4,"Drake",242925.235294118,64.4705882352941,1,0.678588235294118,0.518,-7.786,0.208817647058824,0.261058823529412,3.68270588235294e-05,0.178329411764706,0.339352941176471,114.139764705882
"spotify:track:4v7SAP4KD96BFLWiCd1vF0","Madonna","If You're Reading This It's Too Late","Drake",2015-02-12,177840,58,TRUE,"bobrossthelegend",2026-02-16 17:34:40,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.905,0.492,2,-8.598,1,0.0595,0.0149,3.77e-05,0.371,0.142,110.017,4,"Drake",242925.235294118,64.4705882352941,1,0.678588235294118,0.518,-7.786,0.208817647058824,0.261058823529412,3.68270588235294e-05,0.178329411764706,0.339352941176471,114.139764705882
"spotify:track:3a8tAZFJxlmBwOtrf5L1oC","6 God","If You're Reading This It's Too Late","Drake",2015-02-12,180666,63,TRUE,"bobrossthelegend",2026-02-16 17:34:40,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.868,0.623,2,-8.595,1,0.101,0.0249,0,0.125,0.498,105.446,4,"Drake",242925.235294118,64.4705882352941,1,0.678588235294118,0.518,-7.786,0.208817647058824,0.261058823529412,3.68270588235294e-05,0.178329411764706,0.339352941176471,114.139764705882
"spotify:track:2mmUoyPxzbxehpfm1TpTRK","Star67","If You're Reading This It's Too Late","Drake",2015-02-12,294973,66,TRUE,"bobrossthelegend",2026-02-16 17:34:40,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.521,0.392,3,-7.88,1,0.17,0.747,8.81e-06,0.198,0.166,91.939,4,"Drake",242925.235294118,64.4705882352941,1,0.678588235294118,0.518,-7.786,0.208817647058824,0.261058823529412,3.68270588235294e-05,0.178329411764706,0.339352941176471,114.139764705882
"spotify:track:1OHoBC4icbuNhpSxP400sv","Preach","If You're Reading This It's Too Late","Drake",2015-02-12,236973,68,TRUE,"bobrossthelegend",2026-02-16 17:34:40,"rap,dark r&b,r&b,trap soul","Cash Money Records/Young Money Ent./Universal Rec.",0.605,0.51,11,-8.094,0,0.423,0.165,8.8e-05,0.104,0.389,65.255,4,"Drake",242925.235294118,64.4705882352941,1,0.678588235294118,0.518,-7.786,0.208817647058824,0.261058823529412,3.68270588235294e-05,0.178329411764706,0.339352941176471,114.139764705882
"spotify:track:6oLHyWvmk6bKrA91EIYZBp","Wednesday Night Interlude","If You're Reading This It's Too Late","Drake",2015-02-12,212280,63,TRUE,"bobrossthelegend",2026-02-16 17:34:40,"rap,dark r&b,r&b,trap soul","Cash Money Records/Young Money Ent./Universal Rec.",0.312,0.466,9,-8.163,0,0.0509,0.729,7.34e-06,0.215,0.195,135.44,4,"Drake",242925.235294118,64.4705882352941,1,0.678588235294118,0.518,-7.786,0.208817647058824,0.261058823529412,3.68270588235294e-05,0.178329411764706,0.339352941176471,114.139764705882
"spotify:track:63p3Slj0shAFP0Q7dQetj5","Used To","If You're Reading This It's Too Late","Drake",2015-02-12,268480,58,TRUE,"bobrossthelegend",2026-02-16 17:34:40,"rap,hip hop","Cash Money Records/Young Money Ent./Universal Rec.",0.926,0.427,10,-7.584,0,0.105,0.0703,0.000337,0.0818,0.304,96.025,4,"Drake",242925.235294118,64.4705882352941,1,0.678588235294118,0.518,-7.786,0.208817647058824,0.261058823529412,3.68270588235294e-05,0.178329411764706,0.339352941176471,114.139764705882
"spotify:track:4kdfjhj9xNkYU0R8xlDy8k","6 Man","If You're Reading This It's Too Late","Drake",2015-02-12,167653,61,TRUE,"bobrossthelegend",2026-02-16 17:34:40,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.568,0.535,4,-9.306,1,0.513,0.217,0,0.114,0.326,83.589,4,"Drake",242925.235294118,64.4705882352941,1,0.678588235294118,0.518,-7.786,0.208817647058824,0.261058823529412,3.68270588235294e-05,0.178329411764706,0.339352941176471,114.139764705882
"spotify:track:4zLOwx1yRJXWkHKt1XzF1p","Now & Forever","If You're Reading This It's Too Late","Drake",2015-02-12,281320,68,TRUE,"bobrossthelegend",2026-02-16 17:34:40,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.555,0.481,6,-7.419,1,0.0322,0.124,0,0.101,0.098,107.793,4,"Drake",242925.235294118,64.4705882352941,1,0.678588235294118,0.518,-7.786,0.208817647058824,0.261058823529412,3.68270588235294e-05,0.178329411764706,0.339352941176471,114.139764705882
"spotify:track:6ImxYXeLDQPIv4qo7bMhSk","Company","If You're Reading This It's Too Late","Drake",2015-02-12,252640,64,TRUE,"bobrossthelegend",2026-02-16 17:34:40,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.651,0.55,7,-8.215,1,0.0496,0.0403,0,0.165,0.119,107.567,4,"Drake",242925.235294118,64.4705882352941,1,0.678588235294118,0.518,-7.786,0.208817647058824,0.261058823529412,3.68270588235294e-05,0.178329411764706,0.339352941176471,114.139764705882
"spotify:track:2YaDRtIlQiZ5WDDB2YuEOC","You & The 6","If You're Reading This It's Too Late","Drake",2015-02-12,264906,63,TRUE,"bobrossthelegend",2026-02-16 17:34:40,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.545,0.476,7,-7.444,0,0.284,0.168,0,0.13,0.223,154.362,4,"Drake",242925.235294118,64.4705882352941,1,0.678588235294118,0.518,-7.786,0.208817647058824,0.261058823529412,3.68270588235294e-05,0.178329411764706,0.339352941176471,114.139764705882
"spotify:track:7JXZq0JgG2zTrSOAgY8VMC","Jungle","If You're Reading This It's Too Late","Drake",2015-02-12,320400,75,TRUE,"bobrossthelegend",2026-02-16 17:34:40,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.697,0.235,7,-8.651,1,0.0534,0.62,0.000144,0.107,0.378,99.947,4,"Drake",242925.235294118,64.4705882352941,1,0.678588235294118,0.518,-7.786,0.208817647058824,0.261058823529412,3.68270588235294e-05,0.178329411764706,0.339352941176471,114.139764705882
"spotify:track:5mZJwWdxAOR4xUvSGZvvMU","6PM In New York","If You're Reading This It's Too Late","Drake",2015-02-12,283306,64,TRUE,"bobrossthelegend",2026-02-16 17:34:40,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.554,0.85,5,-4.155,1,0.251,0.107,0,0.155,0.383,128.429,3,"Drake",242925.235294118,64.4705882352941,1,0.678588235294118,0.518,-7.786,0.208817647058824,0.261058823529412,3.68270588235294e-05,0.178329411764706,0.339352941176471,114.139764705882
